epoch,loss,train accuracy,test accuracy
0,0.0133668439582724,0.5990767045454546,67.6923076923077
1,0.009826139324683358,0.7107007575757576,71.1298076923077
2,0.008445516138718549,0.7553267045454546,80.5048076923077
3,0.00753695434347416,0.7807173295454546,80.36057692307692
4,0.007000789716557571,0.7990056818181818,78.89423076923077
5,0.00646915409103685,0.8109019886363636,80.48076923076923
6,0.0060447561051908206,0.8265269886363636,83.82211538461539
7,0.005748645734980308,0.8328006628787878,81.73076923076923
8,0.005430610845161771,0.8425071022727273,83.02884615384616
9,0.005179268104257062,0.8486624053030303,82.59615384615384
